gender,Age,Aim,Tendency_to_get_a_partner
Female,24,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,23,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,20,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,25,Marriage,There is every tendency for you to get a partner very soon
Female,35,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,30,Casual Dating,There is every tendency for you to get a partner very soon
Male,27,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,32,Friendship,There is every tendency for you to get a partner very soon
Male,31,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,35,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,27,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,24,Marriage,"I guess you do not want to inform us, try your luck!"
Male,35,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,24,Marriage,There is every tendency for you to get a partner very soon
Male,27,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Female,35,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,33,Friendship,There is every tendency for you to get a partner very soon
Female,33,Friendship,"I guess you do not want to inform us, try your luck!"
Male,23,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,19,Friendship,"I guess you do not want to inform us, try your luck!"
Female,18,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,18,Casual Dating,There is every tendency for you to get a partner very soon
Male,29,Marriage,There is every tendency for you to get a partner very soon
Female,28,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,29,Marriage,"I guess you do not want to inform us, try your luck!"
Female,23,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,20,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,23,Marriage,"I guess you do not want to inform us, try your luck!"
Male,19,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,24,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,34,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Female,33,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,29,Friendship,"I guess you do not want to inform us, try your luck!"
Male,19,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,21,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,35,Friendship,"I guess you do not want to inform us, try your luck!"
Female,26,Casual Dating,There is every tendency for you to get a partner very soon
Male,34,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,35,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,21,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,33,Casual Dating,There is every tendency for you to get a partner very soon
Female,29,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,20,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,29,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,28,Marriage,"I guess you do not want to inform us, try your luck!"
Female,18,Friendship,"I guess you do not want to inform us, try your luck!"
Female,29,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,19,Casual Dating,There is every tendency for you to get a partner very soon
Female,35,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,29,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,20,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,28,Casual Dating,There is every tendency for you to get a partner very soon
Male,28,Marriage,"I guess you do not want to inform us, try your luck!"
Male,25,Marriage,There is every tendency for you to get a partner very soon
Female,32,Casual Dating,There is every tendency for you to get a partner very soon
Female,24,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,35,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,33,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,30,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,32,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,33,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,34,Marriage,"I guess you do not want to inform us, try your luck!"
Male,18,Marriage,"I guess you do not want to inform us, try your luck!"
Male,34,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,27,Marriage,There is every tendency for you to get a partner very soon
Female,30,Marriage,There is every tendency for you to get a partner very soon
Male,33,Marriage,There is every tendency for you to get a partner very soon
Male,32,Marriage,"I guess you do not want to inform us, try your luck!"
Male,24,Friendship,"I guess you do not want to inform us, try your luck!"
